,Open,High,Low,Close,Volume,Number of trades
18553,6297.79,6334.47,6295.16,6332.1,610.243762,3336
18554,6332.1,6346.81,6321.1,6334.0,898.094021,3932
18555,6334.01,6334.2,6315.0,6326.25,419.635234,3071
18556,6326.27,6342.08,6315.0,6325.5,465.138975,2955
18557,6325.51,6327.07,6290.0,6301.83,381.620898,5953
18558,6303.13,6303.14,6262.0,6288.01,652.134351,6502
18559,6288.01,6305.0,6281.92,6300.08,942.971609,2945
18560,6300.09,6303.91,6282.0,6282.0,717.707394,3039
18561,6282.0,6320.0,6245.0,6306.02,949.414027,4942
18562,6306.04,6308.9,6278.0,6290.0,502.024011,2543
18563,6289.72,6318.5,6289.43,6313.0,637.046834,3071
18564,6313.0,6318.0,6300.04,6314.09,621.936335,2534
18565,6314.1,6315.0,6291.5,6296.98,719.183034,2473
18566,6302.33,6303.43,6273.13,6285.84,616.66304,4226
18567,6285.84,6312.94,6271.84,6301.14,811.381078,3861
18568,6299.52,6346.99,6296.99,6319.54,796.912926,4440
18569,6319.99,6321.7,6298.0,6311.87,718.283017,3314
18570,6311.85,6315.35,6287.77,6295.01,668.072337,3420
18571,6295.07,6304.0,6282.06,6295.74,625.809844,3116
18572,6297.0,6300.0,6270.0,6296.95,808.400242,3699
18573,6296.95,6299.45,6221.0,6262.0,1251.073535,6133
18574,6261.21,6280.01,6240.0,6268.63,834.498754,5642
18575,6269.18,6276.83,6253.85,6260.11,684.89735,3778
18576,6260.11,6274.0,6241.15,6263.23,829.583963,4175
18577,6263.22,6291.88,6260.12,6279.46,585.548034,3444
18578,6280.14,6298.0,6274.43,6293.18,766.162049,3470
18579,6293.63,6305.0,6281.0,6296.73,705.337322,3630
18580,6294.65,6298.19,6275.0,6282.1,746.369575,3029
18581,6282.08,6317.15,6275.18,6310.47,844.76196,4196
18582,6311.99,6321.1,6297.48,6316.94,431.804464,3079
18583,6316.94,6321.8,6286.28,6295.81,440.526496,2894
18584,6298.93,6300.0,6279.62,6283.88,575.577098,2445
18585,6283.88,6299.88,6267.46,6292.25,416.643409,2645
18586,6292.26,6314.99,6287.67,6309.7,744.764321,2795
18587,6312.07,6320.58,6295.01,6312.0,619.513461,2622
18588,6311.99,6346.93,6289.0,6303.91,695.795961,4538
18589,6305.69,6331.99,6290.77,6320.01,487.932758,2968
18590,6320.01,6350.0,6320.01,6334.42,670.654842,3676
18591,6334.4,6392.11,6322.49,6392.1,926.098448,3668
18592,6385.47,6404.0,6341.0,6352.99,1110.351083,5349
18593,6353.0,6372.0,6346.35,6357.94,576.976136,2540
18594,6360.27,6376.76,6357.92,6367.98,367.588373,2709
18595,6369.75,6384.0,6355.0,6355.0,585.776477,2952
18596,6355.0,6366.66,6338.5,6356.77,654.304242,2794
18597,6356.69,6358.92,6309.49,6325.96,880.404455,3325
18598,6326.02,6336.17,6313.04,6332.02,614.772197,2787
18599,6332.98,6348.62,6323.17,6339.35,408.974353,2899
18600,6339.36,6358.76,6330.0,6350.81,552.78932,2903
18601,6353.75,6353.81,6333.0,6334.98,496.278113,2521
18602,6333.98,6340.92,6300.0,6329.87,923.888581,3634
18603,6329.87,6329.88,6309.14,6310.19,637.683307,2510
18604,6310.19,6329.87,6301.0,6320.6,621.298838,2733
18605,6321.09,6331.82,6319.22,6325.0,380.165372,2264
18606,6325.0,6348.0,6324.98,6336.59,441.145398,2638
18607,6340.11,6361.29,6317.0,6339.98,630.645392,2983
18608,6340.0,6343.19,6312.1,6324.72,360.772519,3259
18609,6327.0,6328.16,6310.54,6315.36,516.411239,2270
18610,6315.1,6322.01,6253.15,6276.13,982.035803,5497
18611,6279.98,6285.16,6250.0,6283.75,796.387737,4190
